leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,360075
AANGBULD,DEWLVASR,610115
AANGBULD,DNMPSKTB,4999179
AANGBULD,EVBVXETX,4904136
AANGBULD,FTSVTTSR,387062
AANGBULD,GKQIJYDH,7767591
AANGBULD,GYHKIVQT,19557585
AANGBULD,KJNSOAHR,14261630
AANGBULD,LLHREMKS,251359
AANGBULD,NAQIHUKZ,206618
AANGBULD,OKMBFVKS,2192509
AANGBULD,SDWAYPIK,5972197
AANGBULD,UIFPPCLR,423532
AANGBULD,VUAFAIYJ,902514
AANGBULD,ZCELVYQU,388759
AANGBULD,ZKENOUDA,556020
AHMDUILJ,APQGTRMF,252246
AHMDUILJ,ATLDMDBO,43149619
AHMDUILJ,BUZIIBYG,14291629
AHMDUILJ,DUCMGGNW,928597
AHMDUILJ,LRVGFDFM,2097127
AHMDUILJ,QRKRBYJL,2352398
AHMDUILJ,RAWUKQMJ,3883079
AHMDUILJ,UXSPKBJR,670983
AHMDUILJ,WPQXWHYO,11561890
AHMDUILJ,XIIEJNEE,255527
APQGTRMF,ATLDMDBO,43144586
APQGTRMF,AXULOHBQ,264553
APQGTRMF,BEZYMBBT,3100814
APQGTRMF,BSRMSVTC,548301
APQGTRMF,BTMOEMEP,14601681
APQGTRMF,DBWLZWNK,358089
APQGTRMF,DJBLNPNC,223649
APQGTRMF,DNMPSKTB,4877487
APQGTRMF,DUCMGGNW,919257
APQGTRMF,FDXPMYGF,221687
APQGTRMF,GYHKIVQT,19445507
APQGTRMF,HXYSSRXE,4797529
APQGTRMF,JPBRUTWP,5685538
APQGTRMF,OGAFEHLU,217009
APQGTRMF,OKMBFVKS,2067733
APQGTRMF,OXKURKXR,310818
APQGTRMF,QRKRBYJL,2347830
APQGTRMF,QVLMOEYE,1142142
APQGTRMF,RAWUKQMJ,3873469
APQGTRMF,RCBZUSIM,213387
APQGTRMF,SDWAYPIK,5869997
APQGTRMF,UIFPPCLR,309243
APQGTRMF,VMAQSTJE,236864
APQGTRMF,WBLJNPZQ,365534
APQGTRMF,WHPUAOID,237188
APQGTRMF,XUOIQPFL,2203769
APQGTRMF,YSYHGLQK,333853
APQGTRMF,ZGJXVMNI,2594656
ATLDMDBO,APQGTRMF,79444
ATLDMDBO,AXULOHBQ,83961
ATLDMDBO,BSRMSVTC,282501
ATLDMDBO,BTMOEMEP,14442629
ATLDMDBO,DBWLZWNK,175009
ATLDMDBO,DEWLVASR,568637
ATLDMDBO,DNMPSKTB,4592402
ATLDMDBO,FQCLOEXA,2021296
ATLDMDBO,GYHKIVQT,19153084
ATLDMDBO,HXYSSRXE,4663763
ATLDMDBO,IGDVVKUD,70963
ATLDMDBO,JPBRUTWP,5498881
ATLDMDBO,LPHPPJUG,1220338
ATLDMDBO,LRVGFDFM,1947039
ATLDMDBO,OGAFEHLU,29440
ATLDMDBO,OKMBFVKS,1957539
ATLDMDBO,OXKURKXR,138936
ATLDMDBO,QRKRBYJL,2172014
ATLDMDBO,QVLMOEYE,938024
ATLDMDBO,RAWUKQMJ,3731639
ATLDMDBO,RCBZUSIM,80258
ATLDMDBO,SDWAYPIK,5663918
ATLDMDBO,UGEQLMXM,112784
ATLDMDBO,UXSPKBJR,530169
ATLDMDBO,VBYCLTYZ,533863
ATLDMDBO,XUOIQPFL,2058361
ATLDMDBO,ZGJXVMNI,2344441
ATLDMDBO,ZKENOUDA,527120
AXULOHBQ,BJALXPFS,364043
AXULOHBQ,BSRMSVTC,532066
AXULOHBQ,DNMPSKTB,4897934
AXULOHBQ,EVBVXETX,5029131
AXULOHBQ,FDXPMYGF,206541
AXULOHBQ,FQCLOEXA,2303509
AXULOHBQ,HCDTGMST,252979
AXULOHBQ,HXYSSRXE,4811360
AXULOHBQ,KEUWZRKO,520864
AXULOHBQ,LUENUFGA,3491266
AXULOHBQ,NZKBIBNU,579726
AXULOHBQ,OGAFEHLU,193887
AXULOHBQ,OKMBFVKS,2082660
AXULOHBQ,PYZMVUWD,198904
AXULOHBQ,RJGPVEXX,970750
AXULOHBQ,SAHWCZNH,1815677
AXULOHBQ,UXSPKBJR,795682
AXULOHBQ,VMAQSTJE,225036
AXULOHBQ,WBLJNPZQ,376240
AXULOHBQ,WPQXWHYO,11681521
AXULOHBQ,XIFHSOWQ,248903
AXULOHBQ,XUOIQPFL,2205514
AXULOHBQ,ZGJXVMNI,2593694
AXULOHBQ,ZKENOUDA,681176
BEZYMBBT,ATLDMDBO,43135635
BEZYMBBT,DBWLZWNK,340825
BEZYMBBT,DNMPSKTB,4885429
BEZYMBBT,ELQGMQWE,978621
BEZYMBBT,GYHKIVQT,19432425
BEZYMBBT,HXYSSRXE,4766535
BEZYMBBT,JPBRUTWP,5668408
BEZYMBBT,KJNSOAHR,14350588
BEZYMBBT,OKMBFVKS,2052693
BEZYMBBT,QRKRBYJL,2329149
BEZYMBBT,RAWUKQMJ,3868175
BEZYMBBT,RCBZUSIM,203418
BEZYMBBT,RJGPVEXX,942863
BEZYMBBT,SDWAYPIK,5851413
BEZYMBBT,WBLJNPZQ,358458
BEZYMBBT,XMKRPGLB,1280336
BEZYMBBT,ZKENOUDA,661316
BJALXPFS,DNMPSKTB,4881957
BJALXPFS,GYHKIVQT,19448552
BJALXPFS,KEUWZRKO,546392
BJALXPFS,LTOYKIML,738172
BJALXPFS,OGAFEHLU,209101
BJALXPFS,QRKRBYJL,2342742
BJALXPFS,QVLMOEYE,1149524
BJALXPFS,RCBZUSIM,225024
BJALXPFS,RJGPVEXX,971098
BJALXPFS,SDWAYPIK,5857755
BJALXPFS,SNHYOVBM,413463
BJALXPFS,UGEQLMXM,398614
BJALXPFS,VMAQSTJE,240377
BLANHGYY,AXULOHBQ,259296
BLANHGYY,BJALXPFS,372953
BLANHGYY,BSRMSVTC,497716
BLANHGYY,DNMPSKTB,4892691
BLANHGYY,EVBVXETX,5019026
BLANHGYY,FDXPMYGF,186307
BLANHGYY,FITUEHWN,285405
BLANHGYY,FQCLOEXA,2303482
BLANHGYY,HCDTGMST,231460
BLANHGYY,HXYSSRXE,4807346
BLANHGYY,JBVHSUWY,568956
BLANHGYY,KEUWZRKO,519079
BLANHGYY,LPHPPJUG,1475744
BLANHGYY,LRVGFDFM,2095929
BLANHGYY,OGAFEHLU,181211
BLANHGYY,PYZMVUWD,219987
BLANHGYY,SAHWCZNH,1831158
BLANHGYY,SUOYXCHP,194857
BLANHGYY,TGOELCAG,432827
BLANHGYY,UQYUIVVR,7369162
BLANHGYY,VMAQSTJE,203994
BLANHGYY,WBLJNPZQ,366777
BLANHGYY,WPQXWHYO,11681507
BLANHGYY,WQMVCOEM,217227
BLANHGYY,XUOIQPFL,2203059
BSRMSVTC,BEZYMBBT,3100204
BSRMSVTC,EVBVXETX,5015020
BSRMSVTC,FITUEHWN,274445
BSRMSVTC,HCDTGMST,244477
BSRMSVTC,JBVHSUWY,576401
BSRMSVTC,JPBRUTWP,5680835
BSRMSVTC,KEUWZRKO,532428
BSRMSVTC,LSOIUSXD,439102
BSRMSVTC,LUENUFGA,3500556
BSRMSVTC,OGAFEHLU,193798
BSRMSVTC,PYZMVUWD,219855
BSRMSVTC,RJGPVEXX,968919
BSRMSVTC,ROACSLMG,2440111
BSRMSVTC,STZDBITS,21938712
BSRMSVTC,TGOELCAG,431352
BSRMSVTC,UIFPPCLR,313197
BSRMSVTC,VMAQSTJE,210410
BSRMSVTC,WPQXWHYO,11679060
BSRMSVTC,XIFHSOWQ,239417
BSRMSVTC,XUOIQPFL,2198377
BTMOEMEP,APQGTRMF,180200
BTMOEMEP,ATLDMDBO,43075254
BTMOEMEP,BLANHGYY,219041
BTMOEMEP,BSRMSVTC,511125
BTMOEMEP,DBWLZWNK,310515
BTMOEMEP,DNMPSKTB,4835604
BTMOEMEP,FRHNWLNI,945319
BTMOEMEP,GYHKIVQT,19370723
BTMOEMEP,HXYSSRXE,4736296
BTMOEMEP,IGDVVKUD,163501
BTMOEMEP,JBVHSUWY,514227
BTMOEMEP,JPBRUTWP,5599760
BTMOEMEP,LPHPPJUG,1436628
BTMOEMEP,LRVGFDFM,2020716
BTMOEMEP,OGAFEHLU,160779
BTMOEMEP,OKMBFVKS,2002636
BTMOEMEP,OXKURKXR,254064
BTMOEMEP,QRKRBYJL,2298547
BTMOEMEP,QVLMOEYE,1072247
BTMOEMEP,RAWUKQMJ,3794152
BTMOEMEP,RCBZUSIM,168652
BTMOEMEP,SDWAYPIK,5802351
BTMOEMEP,UGEQLMXM,339204
BTMOEMEP,UXSPKBJR,645619
BTMOEMEP,VBYCLTYZ,628973
BTMOEMEP,WBLJNPZQ,302652
BTMOEMEP,WQMVCOEM,136896
BTMOEMEP,XIIEJNEE,185536
BTMOEMEP,XUOIQPFL,2160522
BUZIIBYG,BTMOEMEP,14511235
BUZIIBYG,DJBLNPNC,133273
BUZIIBYG,FDXPMYGF,121520
BUZIIBYG,FRHNWLNI,888180
BUZIIBYG,FWUCPMMW,118085
BUZIIBYG,RJGPVEXX,768380
BUZIIBYG,SAHWCZNH,1888815
BUZIIBYG,UXSPKBJR,616992
