leading_item_id,following_item_id,value
AANGBULD,DEWLVASR,730284
AANGBULD,FTSVTTSR,549520
AANGBULD,GKQIJYDH,7578935
AANGBULD,NAQIHUKZ,391294
AANGBULD,VUAFAIYJ,1065602
AANGBULD,ZCELVYQU,520889
AANGBULD,ZKENOUDA,760209
AHMDUILJ,UXSPKBJR,808948
APQGTRMF,ATLDMDBO,41889957
APQGTRMF,DNMPSKTB,4913265
APQGTRMF,DUCMGGNW,1011749
APQGTRMF,GYHKIVQT,18996682
APQGTRMF,HXYSSRXE,4818417
APQGTRMF,OKMBFVKS,2218198
APQGTRMF,QVLMOEYE,1317906
APQGTRMF,RCBZUSIM,398660
APQGTRMF,UIFPPCLR,505688
APQGTRMF,WHPUAOID,403838
ATLDMDBO,APQGTRMF,231665
ATLDMDBO,AXULOHBQ,245408
ATLDMDBO,BTMOEMEP,14110294
ATLDMDBO,DBWLZWNK,360419
ATLDMDBO,DNMPSKTB,4675184
ATLDMDBO,GYHKIVQT,18706942
ATLDMDBO,HXYSSRXE,4743722
ATLDMDBO,JPBRUTWP,5545006
ATLDMDBO,LPHPPJUG,1220681
ATLDMDBO,LRVGFDFM,2086328
ATLDMDBO,OGAFEHLU,218260
ATLDMDBO,OXKURKXR,345184
ATLDMDBO,QRKRBYJL,2345170
ATLDMDBO,QVLMOEYE,1125857
ATLDMDBO,RAWUKQMJ,3809327
ATLDMDBO,RCBZUSIM,297478
ATLDMDBO,SDWAYPIK,5711295
ATLDMDBO,UGEQLMXM,269678
ATLDMDBO,VBYCLTYZ,730031
ATLDMDBO,XUOIQPFL,2233445
ATLDMDBO,ZGJXVMNI,2314802
AXULOHBQ,BSRMSVTC,691477
AXULOHBQ,EVBVXETX,4947029
AXULOHBQ,FDXPMYGF,410251
AXULOHBQ,KEUWZRKO,645486
AXULOHBQ,LUENUFGA,3536288
AXULOHBQ,NZKBIBNU,606551
AXULOHBQ,OGAFEHLU,322182
AXULOHBQ,PYZMVUWD,326958
AXULOHBQ,SAHWCZNH,1900442
AXULOHBQ,VMAQSTJE,362114
AXULOHBQ,WPQXWHYO,11366670
AXULOHBQ,XIFHSOWQ,368395
BEZYMBBT,ELQGMQWE,1009093
BEZYMBBT,GYHKIVQT,18951428
BEZYMBBT,HXYSSRXE,4798825
BJALXPFS,DNMPSKTB,4981430
BJALXPFS,QRKRBYJL,2431378
BJALXPFS,SDWAYPIK,5834010
BLANHGYY,BSRMSVTC,689032
BLANHGYY,FDXPMYGF,408860
BLANHGYY,HCDTGMST,374576
BLANHGYY,KEUWZRKO,645448
BLANHGYY,OGAFEHLU,321287
BLANHGYY,SAHWCZNH,1901764
BLANHGYY,SUOYXCHP,373584
BLANHGYY,VMAQSTJE,360750
BLANHGYY,WPQXWHYO,11366772
BSRMSVTC,FITUEHWN,457453
BSRMSVTC,KEUWZRKO,696113
BSRMSVTC,LUENUFGA,3569698
BSRMSVTC,OGAFEHLU,371892
BSRMSVTC,ROACSLMG,2468286
BSRMSVTC,VMAQSTJE,411623
BSRMSVTC,WPQXWHYO,11416193
BSRMSVTC,XIFHSOWQ,384528
BTMOEMEP,ATLDMDBO,41794738
BTMOEMEP,BSRMSVTC,632935
BTMOEMEP,DNMPSKTB,4928077
BTMOEMEP,GYHKIVQT,18918872
BTMOEMEP,IGDVVKUD,293732
BTMOEMEP,JBVHSUWY,630053
BTMOEMEP,JPBRUTWP,5644443
BTMOEMEP,LPHPPJUG,1414666
BTMOEMEP,QRKRBYJL,2371672
BTMOEMEP,QVLMOEYE,1188739
BTMOEMEP,RAWUKQMJ,3857570
BTMOEMEP,RCBZUSIM,320977
BTMOEMEP,SDWAYPIK,5840574
BTMOEMEP,UGEQLMXM,530527
BTMOEMEP,VBYCLTYZ,772885
BTMOEMEP,WQMVCOEM,297025
BTMOEMEP,XIIEJNEE,379331
BTMOEMEP,XUOIQPFL,2322634
BUZIIBYG,FDXPMYGF,253264
BUZIIBYG,FWUCPMMW,310593
CCLHWFWF,FCYBOAXC,101159509
CCLHWFWF,LSOIUSXD,434064
CCLHWFWF,OGAFEHLU,293046
CCLHWFWF,VUAFAIYJ,1046967
CCLHWFWF,VWMBASNE,264336
DBWLZWNK,AXULOHBQ,370084
DBWLZWNK,QVLMOEYE,1299178
DBWLZWNK,RCBZUSIM,378033
DEWLVASR,APQGTRMF,434225
DEWLVASR,GYHKIVQT,19006120
DEWLVASR,KJNSOAHR,13930836
DEWLVASR,OKMBFVKS,2194239
DEWLVASR,SDWAYPIK,5911798
DEWLVASR,VMAQSTJE,370255
DEWLVASR,ZKENOUDA,708734
DEWLVASR,ZXERAXWP,348724
DJBLNPNC,BLANHGYY,436766
DJBLNPNC,BSRMSVTC,655926
DJBLNPNC,FDXPMYGF,373668
