leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,271664
AANGBULD,BEZYMBBT,3124567
AANGBULD,DDEXPPXU,137735
AANGBULD,DEWLVASR,536677
AANGBULD,DNMPSKTB,4968232
AANGBULD,EVBVXETX,4902197
AANGBULD,FQCLOEXA,2136351
AANGBULD,FTSVTTSR,296983
AANGBULD,GKQIJYDH,7927592
AANGBULD,GYHKIVQT,19940039
AANGBULD,JBVHSUWY,585324
AANGBULD,JPBRUTWP,5785621
AANGBULD,JSLXRQOK,153923
AANGBULD,KJNSOAHR,14519964
AANGBULD,LLHREMKS,165818
AANGBULD,LSOIUSXD,461971
AANGBULD,LTOYKIML,549516
AANGBULD,LUENUFGA,3583452
AANGBULD,NAQIHUKZ,107341
AANGBULD,NZKBIBNU,371737
AANGBULD,OKMBFVKS,2146883
AANGBULD,OXKURKXR,307110
AANGBULD,QJQJSWFU,334169
AANGBULD,RJGPVEXX,773731
AANGBULD,SAAYMURU,159655
AANGBULD,SAHWCZNH,1879919
AANGBULD,SDWAYPIK,6001179
AANGBULD,UGEQLMXM,397984
AANGBULD,UIFPPCLR,341001
AANGBULD,UQYUIVVR,7534675
AANGBULD,VUAFAIYJ,818117
AANGBULD,WPQXWHYO,11710996
AANGBULD,XIIEJNEE,170955
AANGBULD,XUOIQPFL,2233184
AANGBULD,ZCELVYQU,308025
AANGBULD,ZGJXVMNI,2430114
AANGBULD,ZKENOUDA,457980
AHMDUILJ,APQGTRMF,170961
AHMDUILJ,ATLDMDBO,44143447
AHMDUILJ,BEZYMBBT,3057877
AHMDUILJ,BSRMSVTC,558455
AHMDUILJ,BTMOEMEP,14948601
AHMDUILJ,BUZIIBYG,14451163
AHMDUILJ,DBWLZWNK,288048
AHMDUILJ,DUCMGGNW,843484
AHMDUILJ,FTSVTTSR,415233
AHMDUILJ,HXYSSRXE,4796437
AHMDUILJ,IGDVVKUD,156771
AHMDUILJ,JERHKLYW,224839
AHMDUILJ,JPBRUTWP,5703478
AHMDUILJ,KEUWZRKO,553242
AHMDUILJ,LRVGFDFM,2071473
AHMDUILJ,MIRCVAMV,281102
AHMDUILJ,NZKBIBNU,390320
AHMDUILJ,QRKRBYJL,2326293
AHMDUILJ,QVLMOEYE,1086094
AHMDUILJ,RAWUKQMJ,3869490
AHMDUILJ,RCBZUSIM,142965
AHMDUILJ,ROACSLMG,2281967
AHMDUILJ,SAAYMURU,254122
AHMDUILJ,SAHWCZNH,1888655
AHMDUILJ,TGOELCAG,440313
AHMDUILJ,UXSPKBJR,590642
AHMDUILJ,VBYCLTYZ,645973
AHMDUILJ,WBLJNPZQ,292636
AHMDUILJ,WPQXWHYO,11704093
AHMDUILJ,WQMVCOEM,139211
AHMDUILJ,XIFHSOWQ,279245
AHMDUILJ,XIIEJNEE,157807
AHMDUILJ,XUOIQPFL,2138015
AHMDUILJ,YSYHGLQK,220328
AHMDUILJ,ZKENOUDA,572421
APQGTRMF,AANGBULD,699144
APQGTRMF,ATLDMDBO,44133832
APQGTRMF,AXULOHBQ,178477
APQGTRMF,BEZYMBBT,3029782
APQGTRMF,BJALXPFS,297100
APQGTRMF,BLANHGYY,185960
APQGTRMF,BSRMSVTC,477661
APQGTRMF,BTMOEMEP,14938486
APQGTRMF,DBWLZWNK,280979
APQGTRMF,DEWLVASR,641739
APQGTRMF,DJBLNPNC,119849
APQGTRMF,DNMPSKTB,4858119
APQGTRMF,DUCMGGNW,855757
APQGTRMF,ELQGMQWE,896481
APQGTRMF,EVBVXETX,4993255
APQGTRMF,FDXPMYGF,135052
APQGTRMF,FQCLOEXA,2230831
APQGTRMF,FRHNWLNI,900108
APQGTRMF,GYHKIVQT,19817636
APQGTRMF,HXYSSRXE,4785703
APQGTRMF,JERHKLYW,223959
APQGTRMF,JPBRUTWP,5673431
APQGTRMF,KJNSOAHR,14604088
APQGTRMF,LPHPPJUG,1385618
APQGTRMF,MBSBZBXA,4753556
APQGTRMF,OGAFEHLU,126158
APQGTRMF,OKMBFVKS,2003539
APQGTRMF,OXKURKXR,212220
APQGTRMF,QRKRBYJL,2304472
APQGTRMF,QVLMOEYE,1055631
APQGTRMF,RAWUKQMJ,3859764
APQGTRMF,RCBZUSIM,114046
APQGTRMF,ROACSLMG,2274041
APQGTRMF,SDWAYPIK,5897088
APQGTRMF,SNHYOVBM,326483
APQGTRMF,SUOYXCHP,139394
APQGTRMF,UIFPPCLR,207896
APQGTRMF,VBYCLTYZ,638862
APQGTRMF,VMAQSTJE,142191
APQGTRMF,WBLJNPZQ,282436
APQGTRMF,WHPUAOID,143133
APQGTRMF,WQMVCOEM,132001
APQGTRMF,XMKRPGLB,1187738
APQGTRMF,XUOIQPFL,2139838
APQGTRMF,YSYHGLQK,231941
APQGTRMF,ZGJXVMNI,2531699
APQGTRMF,ZKENOUDA,576971
ATLDMDBO,AANGBULD,643867
ATLDMDBO,APQGTRMF,95040
ATLDMDBO,AXULOHBQ,99577
ATLDMDBO,BEZYMBBT,2983675
ATLDMDBO,BJALXPFS,191227
ATLDMDBO,BLANHGYY,110754
ATLDMDBO,BSRMSVTC,380462
ATLDMDBO,BTMOEMEP,14859958
ATLDMDBO,DBWLZWNK,196185
ATLDMDBO,DEWLVASR,590116
ATLDMDBO,DJBLNPNC,79605
ATLDMDBO,DNMPSKTB,4742094
ATLDMDBO,ELQGMQWE,841338
ATLDMDBO,EVBVXETX,4898329
ATLDMDBO,FDXPMYGF,87599
ATLDMDBO,FQCLOEXA,2137719
ATLDMDBO,FRHNWLNI,847911
ATLDMDBO,GYHKIVQT,19707436
ATLDMDBO,HXYSSRXE,4720373
ATLDMDBO,IGDVVKUD,69247
ATLDMDBO,JERHKLYW,166289
ATLDMDBO,JPBRUTWP,5605771
ATLDMDBO,LPHPPJUG,1320873
ATLDMDBO,LRVGFDFM,1992688
ATLDMDBO,LSOIUSXD,279871
ATLDMDBO,LUENUFGA,3513746
ATLDMDBO,OGAFEHLU,45613
ATLDMDBO,OKMBFVKS,1982755
ATLDMDBO,OXKURKXR,137959
ATLDMDBO,QRKRBYJL,2213816
ATLDMDBO,QVLMOEYE,971833
ATLDMDBO,RAWUKQMJ,3795195
ATLDMDBO,RCBZUSIM,60824
ATLDMDBO,RJGPVEXX,799946
ATLDMDBO,SAHWCZNH,1813941
ATLDMDBO,SDWAYPIK,5798474
ATLDMDBO,SNHYOVBM,318956
ATLDMDBO,SUOYXCHP,47306
ATLDMDBO,UGEQLMXM,199510
ATLDMDBO,UIFPPCLR,172877
ATLDMDBO,UXSPKBJR,537701
ATLDMDBO,VBYCLTYZ,548418
ATLDMDBO,VMAQSTJE,98833
ATLDMDBO,VWMBASNE,136757
ATLDMDBO,WBLJNPZQ,222775
ATLDMDBO,WQMVCOEM,86338
ATLDMDBO,XIFHSOWQ,200689
ATLDMDBO,XIIEJNEE,102228
ATLDMDBO,XIPPENFQ,279067
ATLDMDBO,XUOIQPFL,2070323
ATLDMDBO,YSYHGLQK,156884
ATLDMDBO,ZGJXVMNI,2467010
ATLDMDBO,ZKENOUDA,543294
AXULOHBQ,AANGBULD,698381
AXULOHBQ,BJALXPFS,263442
AXULOHBQ,BLANHGYY,180458
AXULOHBQ,BSRMSVTC,449026
AXULOHBQ,BUZIIBYG,14543575
AXULOHBQ,DNMPSKTB,4865294
AXULOHBQ,EVBVXETX,5015760
AXULOHBQ,FCYBOAXC,105032280
AXULOHBQ,FDXPMYGF,103189
AXULOHBQ,FQCLOEXA,2229490
AXULOHBQ,FWUCPMMW,238911
AXULOHBQ,GYHKIVQT,19827658
AXULOHBQ,HCDTGMST,165949
AXULOHBQ,HXYSSRXE,4786418
AXULOHBQ,JBVHSUWY,501644
AXULOHBQ,KEUWZRKO,443566
AXULOHBQ,KJNSOAHR,14597123
AXULOHBQ,LPHPPJUG,1378994
AXULOHBQ,LRVGFDFM,2088915
AXULOHBQ,LUENUFGA,3470456
AXULOHBQ,NZKBIBNU,490242
AXULOHBQ,OGAFEHLU,112231
AXULOHBQ,OKMBFVKS,2035492
AXULOHBQ,PYZMVUWD,117475
AXULOHBQ,QJQJSWFU,256431
AXULOHBQ,RJGPVEXX,893517
AXULOHBQ,ROACSLMG,2361282
AXULOHBQ,SAHWCZNH,1770450
AXULOHBQ,SUOYXCHP,131027
AXULOHBQ,UXSPKBJR,707877
AXULOHBQ,VMAQSTJE,139479
AXULOHBQ,VUAFAIYJ,936111
AXULOHBQ,VWMBASNE,226161
AXULOHBQ,WBLJNPZQ,284475
AXULOHBQ,WPQXWHYO,11829180
AXULOHBQ,WQMVCOEM,232007
AXULOHBQ,XIFHSOWQ,168017
AXULOHBQ,XUOIQPFL,2141744
AXULOHBQ,ZCELVYQU,405073
AXULOHBQ,ZGJXVMNI,2531033
AXULOHBQ,ZKENOUDA,600676
BEZYMBBT,AHMDUILJ,214201
BEZYMBBT,APQGTRMF,151246
BEZYMBBT,ATLDMDBO,44150991
BEZYMBBT,AXULOHBQ,190788
BEZYMBBT,BTMOEMEP,14942970
BEZYMBBT,DBWLZWNK,262928
BEZYMBBT,DEWLVASR,638372
BEZYMBBT,DNMPSKTB,4869196
BEZYMBBT,ELQGMQWE,901989
BEZYMBBT,FITUEHWN,268390
BEZYMBBT,FQCLOEXA,2212279
BEZYMBBT,FTSVTTSR,392541
BEZYMBBT,FWUCPMMW,232515
BEZYMBBT,GYHKIVQT,19821179
BEZYMBBT,HXYSSRXE,4768354
BEZYMBBT,IGDVVKUD,141117
BEZYMBBT,JPBRUTWP,5683253
BEZYMBBT,KJNSOAHR,14623028
BEZYMBBT,MBSBZBXA,4750486
BEZYMBBT,OJIFIHMZ,3119350
BEZYMBBT,OKMBFVKS,2023298
BEZYMBBT,OXKURKXR,209309
BEZYMBBT,QJQJSWFU,236660
BEZYMBBT,QRKRBYJL,2320675
BEZYMBBT,QVLMOEYE,1081000
BEZYMBBT,RAWUKQMJ,3851007
BEZYMBBT,RCBZUSIM,134517
BEZYMBBT,RJGPVEXX,863545
BEZYMBBT,SDWAYPIK,5886379
BEZYMBBT,STZDBITS,22400204
BEZYMBBT,UGEQLMXM,311618
BEZYMBBT,UIFPPCLR,222413
BEZYMBBT,UXSPKBJR,613090
BEZYMBBT,VBYCLTYZ,641797
BEZYMBBT,VMAQSTJE,155698
BEZYMBBT,WBLJNPZQ,283226
BEZYMBBT,WHPUAOID,229283
BEZYMBBT,WQMVCOEM,127037
BEZYMBBT,XMKRPGLB,1206800
BEZYMBBT,XUOIQPFL,2149679
BEZYMBBT,YSYHGLQK,214713
BEZYMBBT,ZGJXVMNI,2528052
BEZYMBBT,ZKENOUDA,594182
BJALXPFS,AANGBULD,693448
BJALXPFS,ATLDMDBO,44152217
BJALXPFS,BEZYMBBT,3067149
BJALXPFS,BSRMSVTC,472935
BJALXPFS,BTMOEMEP,14963770
BJALXPFS,BUZIIBYG,14474173
BJALXPFS,DJBLNPNC,218142
BJALXPFS,DNMPSKTB,4845387
BJALXPFS,EVBVXETX,4992659
BJALXPFS,FDXPMYGF,130279
BJALXPFS,FITUEHWN,203283
BJALXPFS,FRHNWLNI,916392
BJALXPFS,FWUCPMMW,232641
BJALXPFS,GYHKIVQT,19829695
BJALXPFS,HXYSSRXE,4791931
BJALXPFS,IGDVVKUD,147309
BJALXPFS,JERHKLYW,226073
BJALXPFS,JPBRUTWP,5708415
BJALXPFS,KEUWZRKO,464570
BJALXPFS,LRVGFDFM,2080149
BJALXPFS,LTOYKIML,656743
BJALXPFS,MBSBZBXA,4773202
BJALXPFS,OGAFEHLU,123167
BJALXPFS,OKMBFVKS,2038175
BJALXPFS,PYZMVUWD,140958
BJALXPFS,QJQJSWFU,245029
BJALXPFS,QRKRBYJL,2308754
BJALXPFS,QVLMOEYE,1080468
BJALXPFS,RAWUKQMJ,3876794
BJALXPFS,RCBZUSIM,134253
BJALXPFS,RJGPVEXX,889563
BJALXPFS,SDWAYPIK,5889866
BJALXPFS,SNHYOVBM,325041
BJALXPFS,SUOYXCHP,128633
BJALXPFS,UGEQLMXM,316473
BJALXPFS,VBYCLTYZ,653057
BJALXPFS,VMAQSTJE,150161
BJALXPFS,WBLJNPZQ,281633
BJALXPFS,XIFHSOWQ,197168
BJALXPFS,XIIEJNEE,265219
BJALXPFS,XUOIQPFL,2148467
BJALXPFS,ZGJXVMNI,2538568
BJALXPFS,ZKENOUDA,582408
BLANHGYY,AHMDUILJ,299314
BLANHGYY,APQGTRMF,169291
BLANHGYY,AXULOHBQ,160421
BLANHGYY,BJALXPFS,271988
BLANHGYY,BSRMSVTC,415299
BLANHGYY,BUZIIBYG,14546389
BLANHGYY,CCLHWFWF,15687543
BLANHGYY,DNMPSKTB,4868588
BLANHGYY,DUCMGGNW,864333
BLANHGYY,EVBVXETX,5005678
BLANHGYY,FCYBOAXC,105024820
BLANHGYY,FDXPMYGF,83284
BLANHGYY,FITUEHWN,198971
BLANHGYY,FQCLOEXA,2246541
BLANHGYY,GYHKIVQT,19849078
BLANHGYY,HCDTGMST,144722
BLANHGYY,HXYSSRXE,4777989
BLANHGYY,JBVHSUWY,482271
BLANHGYY,KEUWZRKO,441746
BLANHGYY,LPHPPJUG,1386323
BLANHGYY,LRVGFDFM,2074218
BLANHGYY,OGAFEHLU,99780
BLANHGYY,PYZMVUWD,125062
BLANHGYY,RAWUKQMJ,3861238
BLANHGYY,RJGPVEXX,869379
BLANHGYY,ROACSLMG,2367888
BLANHGYY,SAHWCZNH,1785485
BLANHGYY,SDWAYPIK,5915893
BLANHGYY,SUOYXCHP,100189
BLANHGYY,TGOELCAG,343786
BLANHGYY,UQYUIVVR,7529317
BLANHGYY,VMAQSTJE,118718
BLANHGYY,VUAFAIYJ,934126
BLANHGYY,WBLJNPZQ,270726
BLANHGYY,WPQXWHYO,11829089
BLANHGYY,WQMVCOEM,117717
BLANHGYY,XUOIQPFL,2147760
BLANHGYY,YSYHGLQK,139037
BLANHGYY,ZGJXVMNI,2537304
BLANHGYY,ZKENOUDA,575725
BSRMSVTC,AHMDUILJ,228823
BSRMSVTC,BEZYMBBT,3043109
BSRMSVTC,BUZIIBYG,14535702
BSRMSVTC,DNMPSKTB,4867121
BSRMSVTC,EVBVXETX,4989146
BSRMSVTC,FCYBOAXC,105020822
BSRMSVTC,FITUEHWN,175820
BSRMSVTC,HCDTGMST,144978
BSRMSVTC,JBVHSUWY,476918
BSRMSVTC,JERHKLYW,150710
BSRMSVTC,JPBRUTWP,5682764
BSRMSVTC,KEUWZRKO,442893
BSRMSVTC,KJNSOAHR,14615506
BSRMSVTC,LSOIUSXD,356955
BSRMSVTC,LUENUFGA,3471902
BSRMSVTC,MBSBZBXA,4765529
